Launch Date and Time (UTC),Launch Site (Abbrv.),Latitude,Longitude,Launch Vehicle,Official Payload Name,Success,Launch Site (Full)
2026 JUL 11 0301,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-48,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 JUL 10 0415,WSLC,19.59755,110.936481,Long March 10B,Demo Flight,S,"Commercial LC-2 / Wenchang Space Launch Site, People's Republic of China"
2026 JUL 09 0925,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-42,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 JUL 07 0712,VSFB,34.632,-120.611,Falcon 9 Block 5,Transporter 17 (Dedicated SSO Rideshare),S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 JUL 05 1343,WSLC,19.597275,110.930753,Long March 8A,SpaceSail Polar Group #14,S,"Commercial LC-1 / Wenchang Space Launch Site, People's Republic of China"
2026 JUL 05 1050,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-50,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 JUL 04 0930,TSLC,38.8583,111.5802,Long March 6A,SpaceSail Polar Group #13,S,"Launch Complex 9A / Taiyuan Satellite Launch Center, People's Republic of China"
2026 JUL 03 0836,,8.716667,167.733333,Pegasus XL,Swift Boost Mission,S,Kwajalein Atoll / Air launch to orbit
2026 JUL 02 0430,CCSFS,28.58341025,-80.58303644,Atlas V 551,Amazon Leo (LA-08),S,"Space Launch Complex 41 / Cape Canaveral SFS, FL, USA"
2026 JUL 02 0258,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-46,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 JUL 01 2346,JSLC,40.960482,100.298059,Long March 4B,Haiyang 2E,S,"Launch Area 94 (SLS-2 / 603) / Jiuquan Satellite Launch Center, People's Republic of China"
2026 JUN 29 0225,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Sirius SXM-11,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 JUN 28 1609,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-40,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 JUN 26 1743,LC-1,-39.262833,177.864469,Electron,Ten Owl Of Ten (StriX Launch 10),S,"Rocket Lab Launch Complex 1B / Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand"
2026 JUN 25 0330,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-45,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 JUN 23 1053,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Project Starfall Demonstration Mission,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 JUN 23 0210,WSLC,19.618452,110.955356,Long March 7A,TJSW-26A,S,"201 / Wenchang Space Launch Site, People's Republic of China"
2026 JUN 21 1639,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-28,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 JUN 19 1019,LC-1,-39.262833,177.864469,Electron,VICTUS HAZE Puma,S,"Rocket Lab Launch Complex 1A / Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand"
2026 JUN 19 0850,VSFB,34.632,-120.611,Falcon 9 Block 5,NROL-179,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 JUN 17 1221,CSG,5.256319,-52.786838,Ariane 64 Block 2,Amazon Leo (LE-03),S,"Ariane Launch Area 4 / Guiana Space Centre, French Guiana"
2026 JUN 17 0639,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,BlueBird Block 2 #3-5,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 JUN 17 0358,JSLC,40.969117,100.343333,Kuaizhou 11,CentiSpace-1 Group 05,S,"Launch Area 95A / Jiuquan Satellite Launch Center, People's Republic of China"
2026 JUN 17 0244,WSLC,19.59755,110.936481,Long March 12,SatNet LEO Group 22,S,"Commercial LC-2 / Wenchang Space Launch Site, People's Republic of China"
2026 JUN 16 0945,XSLC,28.245504,102.026768,Long March 3B/E,Shijian 31,S,"Launch Complex 2 (LC-2) / Xichang Satellite Launch Center, People's Republic of China"
2026 JUN 15 1534,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-54,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 JUN 15 0344,JSLC,40.8182,100.22514,Kinetica 1,8 x Jilin-1,S,"Launch Area 130 / Jiuquan Satellite Launch Center, People's Republic of China"
2026 JUN 12 1237,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-54,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 JUN 12 0053,TNSC,30.400938,130.97564,H3-30,H3-30 Test Flight,S,"Yoshinobu Launch Complex LP-2 / Tanegashima Space Center, Japan"
2026 JUN 11 1505,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-44,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 JUN 11 0800,WFF,37.833262,-75.488235,Electron,HASTE | Curveball,S,"Rocket Lab Launch Complex 2 (Launch Area 0 C) / Wallops Flight Facility, Virginia, USA"
2026 JUN 11 0730,WSLC,19.614334,110.951011,Long March 5,TJSW-25,S,"101 / Wenchang Space Launch Site, People's Republic of China"
2026 JUN 09 0823,JSLC,40.91491,100.245488,Zhuque-2E Block 2,2 x SatNet DTC test satellites,S,"Launch Area 96A / Jiuquan Satellite Launch Center, People's Republic of China"
2026 JUN 08 1013,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-35,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 JUN 07 0424,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-43,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 JUN 05 0634,WSLC,19.597275,110.930753,Long March 8,SpaceSail Polar Group #12,S,"Commercial LC-1 / Wenchang Space Launch Site, People's Republic of China"
2026 JUN 04 1139,TSLC,38.8583,111.5802,Long March 6A,SpaceSail Polar Group #11,S,"Launch Complex 9A / Taiyuan Satellite Launch Center, People's Republic of China"
2026 JUN 04 1026,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-43,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 JUN 03 1540,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-47,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 JUN 01 0840,JSLC,40.891596,100.217289,Long March 12B,Demo Flight (SpaceSail Polar Group #10),S,"Long March 12 series Pad / Jiuquan Satellite Launch Center, People's Republic of China"
2026 MAY 30 1807,XSLC,28.247059,102.029008,Long March 2D,4 x SatNet test satellites,S,"Launch Complex 3 (LC-3/LA-1) / Xichang Satellite Launch Center, People's Republic of China"
2026 MAY 30 1525,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-41,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 MAY 29 2353,CCSFS,28.58341025,-80.58303644,Atlas V 551,Amazon Leo (LA-07),S,"Space Launch Complex 41 / Cape Canaveral SFS, FL, USA"
2026 MAY 29 1257,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-53,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 MAY 26 1616,WSLC,19.618452,110.955356,Long March 7A,TJSW-24,S,"201 / Wenchang Space Launch Site, People's Republic of China"
2026 MAY 26 1450,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-37,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 MAY 25 1148,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-47,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 MAY 24 1508,JSLC,40.957893,100.290944,Long March 2F/G,Shenzhou 23,S,"Launch Area 91 (SLS-1 / 921) / Jiuquan Satellite Launch Center, People's Republic of China"
2026 MAY 22 2230,Starbase,25.99677,-97.15799,Starship V3,Starship | Flight 12,S,"Orbital Launch Pad 2 / SpaceX Starbase, TX, USA"
